Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
C1,0603,1,10n,C19666
"C2, C7",0603,2,100n,C19666
C3,0603,1,3.3u/16V,C19666
C4,0603,1,0.1u,C14663
C5,0603,1,1u,C15849
C6,0603,1, 100n (X7R),C19666
C8,0603,1, 10u (X7R),C19666
C9,0603,1, 10n (X7R),C19666
J1,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
R1,0603,1,2M,
U1,SOT-23-5,1,TCR2EF19,C146366
